ID 	 Date 	 Text 	 I-LOC 	 I-PER 	 I-MISC & IORG
gnd118554700_013e7f90-9031-434d-8856-24b9dcf1375f	1766-10-19	Marie Elisabeth, geb. Colomb, verwitwete von Hollwede (geb. 8.12.1741 in Berlin) und der Obristwachtmeister (Major) a.D. und preußische Kammerherr Alexander Georg von Humboldt (geb. 22.9.1720 in Zamenz, Kreis Neustettin) heiraten auf dem Gut Lancke im Kirchenkreis Bernau bei Berlin.	[Berlin, Kirchenkreis Bernau, Neustettin]	[Alexander Georg von Humboldt, Major, Marie Elisabeth]	[]
gnd118554700_4c206bdb-c4b2-4546-b761-67b8edf0ba02	1767-06-22	Wilhelm von Humboldt wird in Potsdam geboren. Er hat einen Halbbruder aus der ersten Ehe der                     Mutter: Heinrich Friedrich Ludwig Ferdinand von Hollwede (1763-1817).	[Potsdam]	[Heinrich Friedrich Ludwig Ferdinand von Hollwede, Wilhelm von Humboldt]	[]
gnd118554700_42bece2a-048c-47cd-8fc5-69577018366b	1769-09-14	Alexander von Humboldt wird in Berlin, Jägerstraße Nr. 22 (heute Sitz der Berlin-Brandenburgischen Akademie der Wissenschaften) geboren. Der Geburtsort steht nicht mit letzter Sicherheit fest; es könnte auch Schloss Tegel bei Berlin sein.	[Berlin, Tegel]	[Alexander von Humboldt]	[Berlin-Brandenburgischen, Schloss Tegel]
gnd118554700_95ef3ae7-579b-460a-aa10-886db791c1d4	1769-10-09	Taufe im Berliner Dom. H. erhält die Vornamen Friedrich Wilhelm Heinrich Alexander.	[Berliner Dom]	[Friedrich Wilhelm Heinrich Alexander]	[]
gnd118554700_f3366ba4-2395-417e-9034-e8f6333eef27	1775	Beginn der Unterrichtung H.s durch Hauslehrer (u.a. Joachim Heinrich Campe).	[H.s]	[Joachim Heinrich Campe]	[]
gnd118554700_7a850e82-96e3-4a1f-a467-39a65a7d43d7	1777	Gottlob Johann Christian Kunth übernimmt die Erziehung der Brüder Wilhelm und Alexander. Neben Kunth erteilen auch andere Berliner Gelehrte Unterricht.	[]	[Alexander, Gottlob Johann Christian Kunth, Wilhelm]	[Berliner, Brüder Wilhelm]
gnd118554700_0b0ac692-f3ec-4b0b-a0fc-0e79e9c53c3b	1777-09-25	Tod des Mathematikers und Philosophen Johann Heinrich Lambert (geb. 1728); H.                     wird zur Aufbahrungsstätte geführt, um ihn „pedantisch an den Anblik von Leichen                     zu gewöhnen“ (Brief an Emil du Bois-Reymond, 4.9.1851).	[]	[Emil du Bois-Reymond, Johann Heinrich Lambert]	[Bois-Reymond]
gnd118554700_28d6d908-39f6-4bd9-b86c-388f22224774	1778-05-20	Goethe zu Gast in Tegel, wo H. seine Kindheit verbringt.	[Tegel]	[Goethe]	[]
gnd118554700_5b5e6801-a092-477e-b829-dede6bd2f1f2	1779-01-06	Tod Alexander Georg von Humboldts; Beisetzung zunächst in der Dorfkirche von Ringenwalde/Neumark, später in der Dorfkirche in Falkenberg bei Berlin.	[Berlin, Falkenberg]	[Alexander Georg von Humboldts]	[]
gnd118554700_21a24b5f-2a1d-4955-9b50-42b462a509b3	1779-01-09	Die "Königlich privilegirte Berlinische Staats- und gelehrte Zeitung" meldet, dass am 6. 1. früh um 2 Uhr der "Königl. Preußische Cammerherr und Major, Herr von Homboldt [sic!]" verstorben ist.	[]	[Major]	[Berlinische Staats]
gnd118554700_bfa72819-e240-4a76-8824-f8ce93c13116	1781-07-30	Der Arzt Ernst Ludwig Heim erklärt in Tegel den Brüdern Wilhelm und Alexander von Humboldt die 24 Klassen des Linnéschen Pflanzensystems.	[Brüdern Wilhelm, Tegel]	[Alexander von Humboldt, Ernst Ludwig Heim, Linnéschen, Wilhelm]	[Linnéschen]
gnd118554700_99173053-453c-43cc-a177-e36a829dcccf	1783-04-08	H. fertigt eine Zeichnung der "Halbkugel der neuen Welt" (Amerika, Ozeanien) an.	[Amerika, Ozeanien]	[]	[]
gnd118554700_661238ae-6d5e-4107-bad7-914cdf87dea7	1783-04-10	H. entwirft eine zeichnerische Veranschaulichung des "Copernicanischen Planetensystems".	[]	[]	[]
gnd118554700_a3c8cb2b-09f0-4408-b915-12fa6e611a1a	1784-06-24	Maria Elisabeth von Humboldt übergibt Tegel einem Pächter.	[Tegel]	[Maria Elisabeth von Humboldt]	[]
gnd118554700_f31604af-e5f5-47c2-8aba-f803f9684af1	1786-01-07	H. nimmt an der Leichenfeier für den Philosophen Moses Mendelssohn teil.	[]	[Moses Mendelssohn]	[]
gnd118554700_e1950533-0b19-42a1-862d-4c20c3434418	1787-10-01	Immatrikulation H.s und seines mit ihm am 29.9. eingetroffenen Bruders Wilhelm an der Universität Frankfurt/Oder. Die Brüder studieren das erste Semester unter der Aufsicht von Kunth.	[Frankfurt/Oder, H.s]	[Kunth, Wilhelm]	[]
gnd118554700_2d5ce60a-1bb6-4c07-b78e-35a160849d67	1788-02-13	H. schließt einen "Freundschaftsbund" mit dem Theologiestudenten Wilhelm Gabriel Wegener in Frankfurt/Oder.	[Frankfurt/Oder]	[Wilhelm Gabriel Wegener]	[]
gnd118554700_0c4efb72-570f-48c5-9fe2-44b27f1150a8	1788-03-20	Ende des Studiums in Frankfurt/Oder. H. kehrt nach Berlin zurück; sein Bruder bezieht die Universität Göttingen. Kunth, der Wilhelm von Humboldt nach Göttingen begleitet hatte, kehrt am 5.5. zu H. zurück. H. wird in Berlin durch verschiedene Gelehrte in Technologie, Physik, Mathematik, Zeichnen, Griechisch und Philosophie weiter unterrichtet. Daneben betreibt er mit Karl Ludwig Willdenow botanische Studien. H. und Willdenow schließen Freundschaft.	[Berlin, Frankfurt/Oder, Göttingen]	[Karl Ludwig Willdenow, Kunth, Wilhelm von Humboldt, Willdenow]	[Griechisch]
gnd118554700_3d019b75-9f38-4e44-a7df-e44e274d2790	1788-07-14	H. reitet mit Kunth über Rüdersdorf nach Frankfurt/Oder, wo sie sich zwei Tage aufhalten.	[Frankfurt/Oder]	[Kunth]	[Frankfurt/Oder]
gnd118554700_7a3de7ca-6daa-4c8a-8dec-859197315221	1788-07-18	H. wieder in Berlin.	[Berlin]	[]	[]
gnd118554700_8dd9793f-efca-4c36-bcbd-9c991f32b0fe	1788-08-09	H. reist mit dem Geistlichen Johann Friedrich Zöllner, seinem Lehrer in Technologie, über Eberswalde nach dem Humboldtschen Gut Ringenwalde/Neumark (B: 4.9.).	[Eberswalde]	[Humboldtschen, Johann Friedrich Zöllner]	[Humboldtschen]
gnd118554700_766e712c-cd60-4c7d-b39c-a29071cfb98c	1788-09-27	H. sieht in Berlin den Ballonaufstieg Jean-Pierre Blanchards.	[Berlin]	[Jean-Pierre Blanchards]	[]
gnd118554700_570be713-60ef-4604-b272-49101e0d5aea	1789-01-05	In der "Gazette littéraire de Berlin" erscheint H.s erste Veröffentlichung, die Übersetzung einer botanischen Abhandlung aus der lateinischen in die franz. Sprache mit eigenen Anmerkungen (Fortsetzung am 12.1.).	[Berlin, H.s]	[]	[]
gnd118554700_238687b3-4890-4e11-8921-bb896bf6f149	1789-04-10	H. reist mit Kunth von Berlin ab, um in Göttingen an der Universität seine Studien fortzusetzen. Reiseroute: Magdeburg (5 Tage), Besuch der Salzwerke zu Schönebeck, Groß-Salze und Frohse, Herrnhuter-Kolonie Gnadau, Harbke (Veltheimsche Baumzucht), Helmstedt (Besuch bei dem Mathematiker Johann Friedrich Pfaff), Braunschweig (8 Tage; Zusammentreffen mit dem Bruder).	[Berlin, Braunschweig, Gnadau, Göttingen, Harbke, Helmstedt, Magdeburg, Schönebeck]	[Johann Friedrich Pfaff, Kunth]	[]
gnd118554700_106938e9-09d7-4ceb-b71a-3f1260e86ee1	1789-04-25	Immatrikulation an der Universität Göttingen. Von Göttingen mehrere Reisen ins Hessische, durch Niedersachsen, in den Harz und ins Eichsfeld.	[Eichsfeld, Harz, Hessische, Niedersachsen]	[]	[Universität Göttingen]
gnd118554700_915f522c-0630-48fa-ba9a-58a0686eb6f2	1789-06-01	H. auf dem Brocken (Beleg: Grosse, W.: Die Stammbücher des Wolkensacks, und: Brockenwanderer der Jahre 1809 bis 1849 [nach Auszügen aus dem Wernigeröder Intelligenz- bzw. Wochenblatt]. In: Zeitschrift des Harz-Vereins für Geschichte und Altertumskunde. Jg. 61. 1928, S. 125.)	[Brocken]	[Grosse]	[]
gnd118554700_92fc8691-abc5-45ad-8ba3-85d0da691955	1789-07-19	H. übergibt dem Philosophen Friedrich Heinrich Jacobi in Bad Pyrmont ein Empfehlungsschreiben seines Bruders Wilhelm. Er bleibt 8 Tage.	[Bad Pyrmont]	[Friedrich Heinrich Jacobi, Wilhelm]	[]
gnd118554700_2dce3d2b-6345-42cc-b45b-f5ea3ee7152d	1789-09-10	H. wieder in Göttingen.	[Göttingen]	[]	[]
