H0013797	1838-03	Wilhelm Weber auf der Reise nach London in Berlin. H. lädt Weber und Poggendorff zu einem Mittwoch um 10 Uhr zum Frühstück ein.	{H0005221=Berlin|H0005221, H0011492=London|H0011492}	{H0002047=Poggendorff|H0002047|https://upload.wikimedia.org/wikipedia/commons/6/69/Johann_Christian_Poggendorff.jpg, H0006276=Wilhelm Weber|H0006276|https://upload.wikimedia.org/wikipedia/commons/5/55/Wilhelm_Eduard_Weber_II.jpg}	[]
H0013798	1838-03-18	Meyerbeer trifft H.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0013799	1838-03-19	H. liest in der physikalisch-mathematischen Klasse der Berliner Akademie über „die Hochebene von Bogotá“.	{}	{}	[]
H0013800	1838-03-28	Meyerbeer trifft H.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0013801	1838-04-02	Meyerbeer um 10.30 Uhr bei H.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0013802	1838-05-02	Meyerbeer trifft H.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0013803	1838-05-05	H. hält in der „Gesellschaft für Erdkunde in Berlin“ zur Feier des Stiftungsfestes einen Vortrag über „die Hochebene von Bogotá“.	{}	{}	[]
H0013804	1838-05-10	H. liest in der Berliner Akademie eine zweite Abhandlung mit „geognostischen und physikalischen Beobachtungen des Hochlandes von Quito“.	{}	{}	[]
H0013805	1838-05-16	H. übergibt dem in Berlin weilenden französischen Politiker und Historiker Camille-Pierre-Alexis Paganel (1797–1859) einen Empfehlungsbrief an Christian Daniel Rauch.	{H0005221=Berlin|H0005221}	{H0000746=Christian Daniel Rauch|H0000746|https://upload.wikimedia.org/wikipedia/commons/d/d6/Christian_Daniel_Rauch_2.JPG}	[]
H0013806	1838-05-19	H. will mit Christian Daniel Rauch nach Tegel fahren, da an diesem Tage Kaiserin Aleksandra Fedorovna von Russland eintrifft. Der König geht zu deren Empfang nach Friedrichsfelde, dann nach Potsdam.	{H0008392=Potsdam|H0008392, H0009286=Tegel|H0009286}	{H0000746=Christian Daniel Rauch|H0000746|https://upload.wikimedia.org/wikipedia/commons/d/d6/Christian_Daniel_Rauch_2.JPG, H0001156=Kaiserin Aleksandra Fedorovna von Russland|H0001156|https://upload.wikimedia.org/wikipedia/commons/4/4e/Alexandra_Fedorovna_in_yellow_Russian_dress_%281836%2C_A.Malyukov%2C_Hermitage%29.jpg, H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0013807	1838-06-29	H. reist in der Nacht zum 30.6. nach Teplitz, nachdem er zuvor 14 Tage an „gastrisch-rheumatischem Fieber“ erkrankt war. Er ist am 28.7. wieder in Berlin. Reisedaten Friedrich Wilhelm III.: 30.6. Fahrt von Erdmannsdorf nach Freiburg, 4.7. in Teplitz, 26.7. Abreise von Teplitz, 27.7. Ankunft in Berlin.	{H0005221=Berlin|H0005221, H0009328=Teplitz|H0009328}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0013808	1838-08-03	H. verbringt sechs Tage auf der Pfaueninsel und in Potsdam. Der König ist am 3. und 4.8. auf der Pfaueninsel, am 5.8. in Paretz, am 9.8. zurück in Charlottenburg.	{H0007341=Charlottenburg|H0007341, H0008113=Paretz|H0008113, H0008243=Pfaueninsel|H0008243, H0008392=Potsdam|H0008392}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0013809	1838-08-14	H. reist (früh um 5 Uhr) zum vierten (und während der Regierungszeit Friedrich Wilhelms III. letzten) Mal nach Paris ab. Auf der Reise macht er kurze Station in Weimar. Er trifft am 20.8. früh in Paris ein und bleibt dort bis zum 3.1.1839. Seine Adresse: Hôtel de Londres, Rue des Petits Augustins n. 3.	{H0008129=Paris|H0008129}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0013810	1838-09-10	H. nimmt an der Vorführung eines Telegraphen-Apparats durch den Erfinder Samuel Finley Breese Morse (1791–1872) im „Institut“ teil.	{}	{H0014370=Samuel Finley Breese Morse|H0014370|https://upload.wikimedia.org/wikipedia/commons/e/ef/Samuel_Morse.jpg}	[]
H0013811	1838-09-17	Meyerbeer trifft H. in Paris.	{H0008129=Paris|H0008129}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0013812	1838-09-21	H. beabsichtigt, für einige Tage mit einem Dampfboot auf der Seine nach Rouen und Le Havre zu fahren.	{H0010668=Rouen|H0010668, H0011407=Le Havre|H0011407}	{}	[]
H0013813	1838-10-03	H. bittet in einem Brief an einen bisher unbekannten Empfänger um die Adresse von Charles Darwin.	{}	{H0012148=Charles Darwin|H0012148|https://upload.wikimedia.org/wikipedia/commons/4/45/Charles_Darwin_1880.jpg}	[]
H0013814	1838-10-08	Meyerbeer trifft H.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0013815	1838-10-15	Meyerbeer trifft H.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0013816	1838-11-07	Meyerbeer trifft H.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0013817	1838-11-10	Meyerbeer lädt Heinrich Heine zu einem Diner mit dem Historienmaler Peter Ritter von Cornelius (1783–1867) und H. ein.	{}	{H0011741=Heinrich Heine|H0011741|https://upload.wikimedia.org/wikipedia/commons/b/b6/Heinrich_Heine.PNG, H0013180=Peter Ritter von Cornelius|H0013180|https://upload.wikimedia.org/wikipedia/commons/6/6b/Peter_von_Cornelius.jpg, H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0013818	1838-11-14	H. vollendet sein „Examen critique de l'histoire de la géographie du Nouveau Continent“, dessen 5. Band in der Oktav-Ausgabe gerade erscheint.	{}	{}	[]
H0013819	1838-12-10	H. holt Meyerbeer um 7 Uhr ab.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0004840	1820-03-13	H. liest im „Institut“ über die „causes de l'accroissement nocturne du son“.	{}	{}	[]
H0004841	1820-02-12	H. verzichtet auf 48.000 Francs Honorar für sein Reisewer, um bei seiner „bevorstehenden Reise nach Persien und Indien die Vollendung der Werke zu erleichtern“.	{H0006686=Indien|H0006686, H0006712=Persien|H0006712}	{}	[]
