H0014942	1766-10-19	Marie Elisabeth, geb. Colomb, verwitwete von Hollwede (geb. 8.12.1741 in Berlin) und der Obristwachtmeister (Major) a.D. und preußische Kammerherr Alexander Georg von Humboldt (geb. 22.9.1720 in Zamenz, Kreis Neustettin) heiraten auf dem Gut Lancke im Kirchenkreis Bernau bei Berlin.	[Berlin]	[Alexander Georg von Humboldt, Marie Elisabeth]	[]
H0014941	1767-06-22	Wilhelm von Humboldt wird in Potsdam geboren. Er hat einen Halbbruder aus der ersten Ehe der Mutter: Heinrich Friedrich Ludwig Ferdinand von Hollwede (1763-1817).	[Potsdam]	[Heinrich Friedrich Ludwig Ferdinand von Hollwede, Wilhelm von Humboldt]	[]
H0014923	1769-09-14	Alexander von Humboldt wird in Berlin, Jägerstraße Nr. 22 (heute Sitz der Berlin-Brandenburgischen Akademie der Wissenschaften) geboren. Der Geburtsort steht nicht mit letzter Sicherheit fest; es könnte auch Schloss Tegel bei Berlin sein.	[Berlin, Schloss Tegel]	[]	[]
H0014924	1769-10-09	Taufe im Berliner Dom. H. erhält die Vornamen Friedrich Wilhelm Heinrich Alexander.	[]	[]	[]
H0015078	1775	Beginn der Unterrichtung H.s durch Hauslehrer (u.a. Joachim Heinrich Campe).	[]	[Joachim Heinrich Campe]	[]
H0015076	1777	Gottlob Johann Christian Kunth übernimmt die Erziehung der Brüder Wilhelm und Alexander. Neben Kunth erteilen auch andere Berliner Gelehrte Unterricht.	[]	[Gottlob Johann Christian Kunth, Wilhelm]	[]
H0015077	1777-09-25	Tod des Mathematikers und Philosophen Johann Heinrich Lambert; H. wird zur Aufbahrungsstätte geführt, um ihn „pedantisch an den Anblik von Leichen zu gewöhnen“ (Brief an Emil du Bois-Reymond, 4.9.1851).	[]	[Emil du Bois-Reymond, Johann Heinrich Lambert]	[]
H0015075	1778-05-20	Goethe zu Gast in Tegel, wo H. seine Kindheit verbringt.	[Tegel]	[Goethe]	[]
H0015073	1779-01-06	Tod Alexander Georg von Humboldts; Beisetzung zunächst in der Dorfkirche von Ringenwalde/Neumark, später in der Dorfkirche in Falkenberg bei Berlin.	[Berlin, Falkenberg]	[Alexander Georg von Humboldts]	[]
H0015074	1779-01-09	Die „Königlich privilegirte Berlinische Staats- und gelehrte Zeitung“ meldet, dass am 6. 1. früh um 2 Uhr der „Königl. Preußische Cammerherr und Major, Herr von Homboldt [sic!]“ verstorben ist.	[]	[Herr von Homboldt]	[]
H0014922	1781-07-30	Der Arzt Ernst Ludwig Heim erklärt in Tegel den Brüdern Wilhelm und Alexander von Humboldt die 24 Klassen des Linnéschen Pflanzensystems.	[Tegel]	[Ernst Ludwig Heim, Linnéschen, Wilhelm]	[]
H0015059	1783-04-08	H. fertigt eine Zeichnung der „Halbkugel der neuen Welt“ (Amerika, Ozeanien) an.	[Ozeanien]	[]	[]
H0015060	1783-04-10	H. entwirft eine zeichnerische Veranschaulichung des „Copernicanischen Planetensystems“.	[]	[]	[]
H0015154	1784-06-24	Maria Elisabeth von Humboldt übergibt Tegel einem Pächter.	[Tegel]	[Maria Elisabeth von Humboldt]	[]
H0015153	1786-01-07	H. nimmt an der Leichenfeier für den Philosophen Moses Mendelssohn teil.	[]	[Moses Mendelssohn]	[]
H0015152	1787-10-01	Immatrikulation H.s und seines mit ihm am 29.9. eingetroffenen Bruders Wilhelm an der Universität Frankfurt/Oder. Die Brüder studieren das erste Semester unter der Aufsicht von Kunth.	[]	[Bruders Wilhelm, Kunth]	[]
H0015146	1788-02-13	H. schließt einen „Freundschaftsbund“ mit dem Theologiestudenten Wilhelm Gabriel Wegener in Frankfurt/Oder.	[Frankfurt/Oder]	[Wilhelm Gabriel Wegener]	[]
H0015147	1788-03-20	Ende des Studiums in Frankfurt/Oder. H. kehrt nach Berlin zurück; sein Bruder bezieht die Universität Göttingen. Kunth, der Wilhelm von Humboldt nach Göttingen begleitet hatte, kehrt am 5.5. zu H. zurück. H. wird in Berlin durch verschiedene Gelehrte in Technologie, Physik, Mathematik, Zeichnen, Griechisch und Philosophie weiter unterrichtet. Daneben betreibt er mit Karl Ludwig Willdenow botanische Studien. H. und Willdenow schließen Freundschaft.	[Berlin, Frankfurt/Oder, Göttingen]	[Bruder, Karl Ludwig Willdenow, Kunth, Wilhelm von Humboldt]	[]
H0015148	1788-07-14	H. reitet mit Kunth über Rüdersdorf nach Frankfurt/Oder, wo sie sich zwei Tage aufhalten.	[Frankfurt/Oder]	[Kunth]	[]
H0015149	1788-07-18	H. wieder in Berlin.	[Berlin]	[]	[]
H0015150	1788-08-09	H. reist mit dem Geistlichen Johann Friedrich Zöllner, seinem Lehrer in Technologie, über Eberswalde nach dem Humboldtschen Gut Ringenwalde/Neumark (B: 4.9.).	[]	[Humboldtschen, Johann Friedrich Zöllner]	[]
H0015151	1788-09-27	H. sieht in Berlin den Ballonaufstieg Jean-Pierre Blanchards.	[Berlin]	[Jean-Pierre Blanchards]	[]
H0015135	1789-01-05	In der „Gazette littéraire de Berlin“ erscheint H.s erste Veröffentlichung, die Übersetzung einer botanischen Abhandlung aus der lateinischen in die französische Sprache mit eigenen Anmerkungen (Fortsetzung am 12.1.).	[]	[]	[]
H0015136	1789-04-10	H. reist mit Kunth von Berlin ab, um in Göttingen an der Universität seine Studien fortzusetzen. Reiseroute: Magdeburg (5 Tage), Besuch der Salzwerke zu Schönebeck, Groß-Salze und Frohse, Herrnhuter-Kolonie Gnadau, Harbke (Veltheimsche Baumzucht), Helmstedt (Besuch bei dem Mathematiker Johann Friedrich Pfaff), Braunschweig (8 Tage; Zusammentreffen mit dem Bruder).	[Berlin, Braunschweig, Göttingen, Harbke, Helmstedt, Magdeburg, Schönebeck]	[Bruder, Johann Friedrich Pfaff, Kunth]	[]
H0015137	1789-04-25	Immatrikulation an der Universität Göttingen. Von Göttingen mehrere Reisen ins Hessische, durch Niedersachsen, in den Harz und ins Eichsfeld.	[Göttingen, Harz]	[]	[]
H0015138	1789-06-01	H. auf dem Brocken (Beleg: Grosse, W.: Die Stammbücher des Wolkensacks, und: Brockenwanderer der Jahre 1809 bis 1849 [nach Auszügen aus dem Wernigeröder Intelligenz- bzw. Wochenblatt]. In: Zeitschrift des Harz-Vereins für Geschichte und Altertumskunde. Jg. 61. 1928, S. 125.)	[Brocken]	[]	[]
H0015139	1789-07-19	H. übergibt dem Philosophen Friedrich Heinrich Jacobi in Bad Pyrmont ein Empfehlungsschreiben seines Bruders Wilhelm. Er bleibt 8 Tage.	[Bad Pyrmont]	[Bruders Wilhelm, Friedrich Heinrich Jacobi]	[]
